,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,STS12,STS13,STS14,STS15,STS16,Avg
312,roberta-base,MAX-NS_SUMALL,torch.Size([768]),1,12,0,50.78308600784289,39.673720329009726,53.70525377157504,54.022459879288434,61.17545422080168,51.871994841703554
313,roberta-base,CLS+AVG_SUMALL,torch.Size([1536]),1,12,0,40.8439375160757,20.279421420018885,26.268691471065164,34.616762012599715,46.79552423326561,33.760867330605016
314,roberta-base,CLS+SUM_SUMALL,torch.Size([1536]),1,12,0,41.16982606684406,20.22444379538095,26.056049351871163,34.44287004711287,46.55188090426511,33.689014033094836
315,roberta-base,CLS+MAX_SUMALL,torch.Size([1536]),1,12,0,55.50893083522741,38.75812914032701,54.924415288270865,63.63675681844383,62.41838175611829,55.049322767677474
316,roberta-base,CLS+AVG-NS_SUMALL,torch.Size([1536]),1,12,0,40.585318570252774,20.24946066751331,26.24436271934642,34.16873070220789,46.841085298485694,33.617791591561215
317,roberta-base,CLS+SUM-NS_SUMALL,torch.Size([1536]),1,12,0,40.85350278707298,20.15783185569988,26.000792305418585,33.959308016540554,46.57657635248576,33.50960226344355
318,roberta-base,CLS+MAX-NS_SUMALL,torch.Size([1536]),1,12,0,50.54907177316379,38.86645010756,52.89464471408481,53.09194025561575,60.98458025626088,51.27733742133705
319,roberta-base,DY3_SUMALL,torch.Size([2304]),1,12,0,45.34205756072803,12.652878439870008,22.478353116062323,29.829881413624626,21.299231054608697,26.32048031697874
320,roberta-base,DY3-NS_SUMALL,torch.Size([2304]),1,12,0,44.32519332414581,17.74176824921877,21.471734814864583,28.7785092713918,23.952969414123547,27.254035014748904
321,roberta-base,DY5_SUMALL,torch.Size([3840]),1,12,0,41.843204410938135,9.30150652672905,22.703322778992614,15.375932761953356,23.590219967099753,22.562837289142582
322,roberta-base,DY5-NS_SUMALL,torch.Size([3840]),1,12,0,43.39257645741957,3.514135084244762,16.209432940964007,32.007726005311014,25.168162896878187,24.058406676963507
323,roberta-base,CLS_AVGALL,torch.Size([768]),1,12,0,46.18596499867545,22.177678721126405,36.96231206036041,45.75944276680063,52.68716253955725,40.754512217304026
