,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
39,microsoft/deberta-v3-base,_concat_cls_with_mean-5,0,1,12,79.89,80.16,93.31,89.69,85.89,46.33,92.2,74.67,80.2675,85.11571428571428
40,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-5,0,1,12,80.28,80.58,93.48,90.19,86.27,46.43,92.2,74.78,80.52625,85.39714285714285
41,microsoft/deberta-v3-base,_concat_mean_3_tokens-5,0,1,12,80.8,82.83,94.27,90.0,85.23,44.34,83.0,68.99,78.6825,83.58857142857143
42,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-5,0,1,12,80.9,83.63,94.27,68.77,85.39,46.02,91.6,67.19,77.22125,81.67857142857143
43,microsoft/deberta-v3-base,_concat_mean_5_tokens-5,0,1,12,80.65,84.16,94.53,68.77,84.29,46.29,84.8,67.07,76.32,80.61
44,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-5,0,1,12,80.78,83.28,94.88,68.77,50.08,46.61,92.8,68.41,73.20124999999999,77.0
45,microsoft/deberta-v3-base,_cls-6,0,1,12,50.0,63.76,61.97,68.77,49.92,28.64,18.8,66.49,51.04375,54.244285714285716
46,microsoft/deberta-v3-base,_mean-6,0,1,12,82.05,82.44,93.48,89.88,88.41,48.1,92.6,75.25,81.52625,86.30142857142857
47,microsoft/deberta-v3-base,_mean_exclude_cls_sep-6,0,1,12,82.24,82.73,93.73,90.48,88.47,47.38,92.4,75.19,81.57749999999999,86.46285714285715
48,microsoft/deberta-v3-base,_concat_cls_with_mean-6,0,1,12,82.37,83.2,93.63,89.48,88.52,48.28,93.0,74.78,81.6575,86.42571428571429
49,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-6,0,1,12,82.43,83.1,93.72,90.33,88.47,49.0,93.4,75.48,81.99125,86.7042857142857
50,microsoft/deberta-v3-base,_concat_mean_3_tokens-6,0,1,12,82.48,84.61,94.3,89.94,87.26,49.23,85.2,67.42,80.05499999999999,84.45857142857142
51,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-6,0,1,12,82.79,86.41,94.75,68.77,87.04,48.78,92.0,67.42,78.49499999999999,82.74
52,microsoft/deberta-v3-base,_concat_mean_5_tokens-6,0,1,12,81.6,86.41,94.98,68.77,86.27,48.87,86.4,66.72,77.5025,81.59285714285714
53,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-6,0,1,12,82.43,86.94,95.08,68.77,50.08,49.19,94.0,67.59,74.26,77.84142857142857
54,microsoft/deberta-v3-base,_cls-7,0,1,12,53.06,63.76,55.8,68.77,49.92,28.64,18.8,66.49,50.655,53.800000000000004
55,microsoft/deberta-v3-base,_mean-7,0,1,12,82.99,82.73,94.0,90.25,90.77,49.14,92.6,75.48,82.245,86.97428571428573
56,microsoft/deberta-v3-base,_mean_exclude_cls_sep-7,0,1,12,83.36,84.53,94.21,90.43,90.99,49.28,93.8,75.54,82.76749999999998,87.55142857142856
57,microsoft/deberta-v3-base,_concat_cls_with_mean-7,0,1,12,83.47,85.99,94.15,89.89,90.72,50.9,93.6,75.83,83.06875000000001,87.66428571428573
58,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-7,0,1,12,83.36,86.41,94.17,90.19,90.88,50.81,93.6,75.36,83.0975,87.71000000000001
59,microsoft/deberta-v3-base,_concat_mean_3_tokens-7,0,1,12,84.26,88.03,94.69,90.37,89.68,51.0,89.8,69.04,82.10875,86.55285714285715
60,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-7,0,1,12,84.45,88.88,94.99,68.77,89.62,50.95,94.4,67.54,79.94999999999999,84.09285714285714
61,microsoft/deberta-v3-base,_concat_mean_5_tokens-7,0,1,12,84.41,88.93,95.12,68.77,89.02,49.5,87.0,63.42,78.27125,82.38142857142857
62,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-7,0,1,12,83.78,89.27,95.59,68.77,50.08,50.77,94.6,69.97,75.35374999999999,78.86571428571428
63,microsoft/deberta-v3-base,_cls-8,0,1,12,54.81,63.76,58.97,68.77,49.92,28.64,18.8,66.49,51.27,54.502857142857145
64,microsoft/deberta-v3-base,_mean-8,0,1,12,85.02,87.5,94.66,89.66,91.54,52.13,93.8,75.94,83.78125,88.30285714285712
65,microsoft/deberta-v3-base,_mean_exclude_cls_sep-8,0,1,12,85.06,87.02,94.59,90.54,91.82,51.36,93.2,74.78,83.54625,88.14428571428572
66,microsoft/deberta-v3-base,_concat_cls_with_mean-8,0,1,12,85.28,86.81,94.65,89.6,91.65,51.04,93.8,75.48,83.53875000000001,88.18142857142857
67,microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-8,0,1,12,85.28,88.13,94.54,90.3,91.38,51.45,94.2,75.65,83.86625,88.49714285714286
