,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
52,answerdotai/ModernBERT-base,_concat_mean_5_tokens-6,0,1,22,74.86,77.64,91.56,84.55,79.46,41.76,86.0,67.94,75.47125,80.28714285714285
53,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-6,0,1,22,74.65,75.92,90.77,68.77,78.91,41.45,87.6,67.25,73.16499999999999,77.69571428571429
54,answerdotai/ModernBERT-base,_cls-7,0,1,22,65.03,64.05,87.67,75.43,74.46,36.83,74.0,60.64,67.26375,71.61142857142856
55,answerdotai/ModernBERT-base,_mean-7,0,1,22,73.54,72.1,89.4,83.26,80.4,39.32,85.4,66.49,73.73875000000001,78.6557142857143
56,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-7,0,1,22,74.25,73.91,89.43,84.83,80.72,43.26,87.2,66.49,75.01125,79.54714285714284
57,answerdotai/ModernBERT-base,_concat_cls_with_mean-7,0,1,22,73.66,75.44,90.99,83.76,79.96,42.53,81.6,63.65,73.94874999999999,78.43714285714285
58,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-7,0,1,22,74.24,75.63,90.52,84.89,80.01,41.27,87.0,62.78,74.54249999999999,79.29571428571428
59,answerdotai/ModernBERT-base,_concat_mean_3_tokens-7,0,1,22,74.93,76.79,91.16,84.31,78.97,43.12,87.0,65.51,75.22375000000001,79.81000000000002
60,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-7,0,1,22,75.43,78.33,91.21,85.3,78.86,42.31,87.8,66.78,75.7525,80.53
61,answerdotai/ModernBERT-base,_concat_mean_5_tokens-7,0,1,22,74.38,77.03,91.3,84.53,79.41,41.27,89.2,67.88,75.625,80.53285714285714
