Unnamed: 0,Modelo,nhid,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
103.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-12,1,24,75.91,75.57,93.98,87.71,82.15,90.0,72.58,82.55714285714285
104.0,bert-large-uncased,0,_concat_mean_3_tokens-12,1,24,76.93,78.84,94.01,87.78,79.08,90.2,68.06,82.12857142857145
105.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-12,1,24,76.81,79.21,94.14,87.83,78.91,91.0,67.54,82.20571428571428
106.0,bert-large-uncased,0,_concat_mean_5_tokens-12,1,24,77.34,79.52,94.09,87.22,78.69,90.2,67.19,82.03571428571429
107.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-12,1,24,76.56,78.54,93.7,68.77,50.08,90.2,62.38,74.31857142857143
108.0,bert-large-uncased,0,_cls-13,1,24,73.24,73.04,92.53,84.92,79.24,75.4,66.49,77.83714285714287
109.0,bert-large-uncased,0,_mean-13,1,24,77.3,77.43,93.48,87.26,82.59,86.8,73.22,82.58285714285715
110.0,bert-large-uncased,0,_mean_exclude_cls_sep-13,1,24,77.51,77.75,93.43,87.66,82.92,91.6,73.28,83.45
111.0,bert-large-uncased,0,_concat_cls_with_mean-13,1,24,76.49,78.68,94.38,87.66,81.88,89.8,73.22,83.15857142857143
112.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-13,1,24,76.41,79.28,94.34,88.37,81.82,90.8,73.28,83.47142857142856
113.0,bert-large-uncased,0,_concat_mean_3_tokens-13,1,24,77.23,79.92,94.25,87.77,80.72,92.2,68.46,82.9357142857143
114.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-13,1,24,77.21,79.66,94.25,87.98,80.18,91.6,68.46,82.76285714285714
115.0,bert-large-uncased,0,_concat_mean_5_tokens-13,1,24,77.78,80.24,94.35,87.03,79.9,92.8,67.94,82.86285714285714
116.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-13,1,24,76.82,79.44,94.1,68.77,50.08,92.8,63.71,75.10285714285715
117.0,bert-large-uncased,0,_cls-14,1,24,76.38,75.47,94.37,86.0,81.71,78.8,69.22,80.27857142857144
118.0,bert-large-uncased,0,_mean-14,1,24,78.7,80.08,93.87,87.18,83.36,91.8,70.09,83.58285714285715
119.0,bert-large-uncased,0,_mean_exclude_cls_sep-14,1,24,78.54,80.26,93.79,87.86,83.31,92.4,70.32,83.78285714285714
120.0,bert-large-uncased,0,_concat_cls_with_mean-14,1,24,78.97,79.95,94.99,87.31,84.62,92.8,73.68,84.61714285714285
121.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-14,1,24,78.74,80.53,94.9,88.06,84.07,93.0,73.74,84.72
122.0,bert-large-uncased,0,_concat_mean_3_tokens-14,1,24,78.79,81.3,94.41,87.89,80.07,93.4,69.04,83.55714285714285
123.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-14,1,24,78.83,80.71,94.41,87.7,80.78,93.6,68.75,83.53999999999999
124.0,bert-large-uncased,0,_concat_mean_5_tokens-14,1,24,78.97,81.17,94.97,87.2,79.96,95.4,66.9,83.50999999999999
125.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-14,1,24,78.83,81.43,94.8,68.77,50.08,93.8,64.99,76.1
126.0,bert-large-uncased,0,_cls-15,1,24,77.73,79.52,94.09,85.53,83.09,88.2,72.0,82.88000000000001
127.0,bert-large-uncased,0,_mean-15,1,24,79.2,79.79,94.44,87.25,84.51,92.2,75.19,84.6542857142857
128.0,bert-large-uncased,0,_mean_exclude_cls_sep-15,1,24,79.32,80.19,94.4,87.99,84.29,93.2,74.32,84.8157142857143
129.0,bert-large-uncased,0,_concat_cls_with_mean-15,1,24,79.9,81.88,94.99,87.42,84.84,92.8,75.42,85.32142857142856
130.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-15,1,24,79.84,82.7,95.2,88.28,85.06,93.0,73.91,85.42714285714284
131.0,bert-large-uncased,0,_concat_mean_3_tokens-15,1,24,79.57,83.08,95.06,87.36,82.1,94.8,68.41,84.33999999999999
132.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-15,1,24,79.29,82.52,94.95,87.7,82.43,93.4,70.14,84.34714285714286
133.0,bert-large-uncased,0,_concat_mean_5_tokens-15,1,24,78.98,82.02,94.79,87.53,81.88,95.0,65.57,83.68142857142857
134.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-15,1,24,79.39,83.34,94.7,68.77,50.08,94.6,64.99,76.55285714285715
135.0,bert-large-uncased,0,_cls-16,1,24,79.99,81.14,94.33,85.48,85.17,89.0,71.59,83.81428571428572
136.0,bert-large-uncased,0,_mean-16,1,24,80.88,84.64,94.73,87.42,86.44,91.0,73.91,85.57428571428571
137.0,bert-large-uncased,0,_mean_exclude_cls_sep-16,1,24,81.01,84.34,94.73,88.37,86.44,92.0,73.16,85.72142857142858
138.0,bert-large-uncased,0,_concat_cls_with_mean-16,1,24,82.47,84.85,95.18,87.61,87.53,93.4,74.49,86.50428571428571
139.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-16,1,24,82.25,84.56,95.3,88.23,87.37,94.0,74.32,86.57571428571428
140.0,bert-large-uncased,0,_concat_mean_3_tokens-16,1,24,80.12,85.48,95.16,88.2,84.35,94.0,68.06,85.05285714285712
