Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
bert-base,DY5-NS_SUML4L,torch.Size([3840]),1,12,0,80.36,86.2,94.94,68.77,50.08,92.4,64.41,76.73714285714286
bert-base,CLS_AVGL4L,torch.Size([768]),1,12,0,81.23,84.61,94.79,87.6,86.05,81.6,70.32,83.74285714285715
bert-base,AVG_AVGL4L,torch.Size([768]),1,12,0,81.21,85.06,94.44,87.88,85.78,90.0,73.97,85.47714285714287
bert-base,SUM_AVGL4L,torch.Size([768]),1,12,0,78.06,84.21,93.85,87.55,86.38,90.6,67.54,84.02714285714285
bert-base,MAX_AVGL4L,torch.Size([768]),1,12,0,77.83,78.44,93.36,87.01,83.96,85.4,72.06,82.58
bert-base,AVG-NS_AVGL4L,torch.Size([768]),1,12,0,80.9,84.69,94.32,87.75,85.72,89.2,74.43,85.28714285714285
bert-base,SUM-NS_AVGL4L,torch.Size([768]),1,12,0,78.3,84.21,93.95,86.76,86.16,90.6,67.07,83.86428571428571
bert-base,MAX-NS_AVGL4L,torch.Size([768]),1,12,0,78.33,80.24,93.21,86.71,84.07,88.6,71.83,83.28428571428572
bert-base,CLS+AVG_AVGL4L,torch.Size([1536]),1,12,0,82.24,84.98,95.26,88.43,87.86,89.0,75.07,86.11999999999999
bert-base,CLS+SUM_AVGL4L,torch.Size([1536]),1,12,0,79.24,84.77,94.23,88.34,86.0,91.0,66.03,84.23
bert-base,CLS+MAX_AVGL4L,torch.Size([1536]),1,12,0,82.05,83.71,94.9,88.39,87.42,90.6,73.28,85.7642857142857
bert-base,CLS+AVG-NS_AVGL4L,torch.Size([1536]),1,12,0,82.02,85.67,95.08,88.99,87.37,90.2,74.96,86.32714285714287
bert-base,CLS+SUM-NS_AVGL4L,torch.Size([1536]),1,12,0,78.94,84.27,93.94,88.33,86.38,91.4,71.54,84.97142857142856
bert-base,CLS+MAX-NS_AVGL4L,torch.Size([1536]),1,12,0,81.79,84.53,94.92,88.5,87.37,90.8,72.81,85.81714285714285
bert-base,DY3_AVGL4L,torch.Size([2304]),1,12,0,81.53,85.22,94.97,88.58,83.42,91.0,70.96,85.09714285714287
bert-base,DY3-NS_AVGL4L,torch.Size([2304]),1,12,0,81.44,86.31,95.02,88.95,84.9,92.4,69.33,85.47857142857143
bert-base,DY5_AVGL4L,torch.Size([3840]),1,12,0,81.65,86.94,95.15,88.87,83.69,92.8,70.55,85.66428571428571
bert-base,DY5-NS_AVGL4L,torch.Size([3840]),1,12,0,81.69,86.41,95.1,68.77,50.08,93.4,67.65,77.58571428571427
bert-base,CLS_SUMALL,torch.Size([768]),1,12,0,79.86,82.86,94.78,86.61,86.49,88.8,66.49,83.69857142857143
bert-base,AVG_SUMALL,torch.Size([768]),1,12,0,80.03,83.34,94.85,88.33,85.94,91.6,66.09,84.31142857142858
bert-base,SUM_SUMALL,torch.Size([768]),1,12,0,74.31,79.81,92.37,85.78,85.67,86.2,66.32,81.49428571428572
bert-base,MAX_SUMALL,torch.Size([768]),1,12,0,71.92,63.47,89.68,86.84,82.32,85.4,65.68,77.90142857142857
bert-base,AVG-NS_SUMALL,torch.Size([768]),1,12,0,79.36,83.63,94.76,88.24,85.45,90.6,64.35,83.77
bert-base,SUM-NS_SUMALL,torch.Size([768]),1,12,0,74.21,80.32,92.85,85.25,83.8,86.2,65.97,81.22857142857143
bert-base,MAX-NS_SUMALL,torch.Size([768]),1,12,0,70.65,64.93,89.86,86.52,81.6,85.2,65.68,77.77714285714285
bert-base,CLS+AVG_SUMALL,torch.Size([1536]),1,12,0,80.81,84.11,94.95,88.26,86.99,93.8,66.49,85.05857142857143
bert-base,CLS+SUM_SUMALL,torch.Size([1536]),1,12,0,74.1,81.67,92.73,85.66,85.78,87.6,64.17,81.67285714285713
bert-base,CLS+MAX_SUMALL,torch.Size([1536]),1,12,0,76.34,74.09,93.03,86.76,86.0,90.0,66.61,81.83285714285715
bert-base,CLS+AVG-NS_SUMALL,torch.Size([1536]),1,12,0,80.5,83.63,94.94,88.58,87.2,92.6,68.64,85.15571428571427
bert-base,CLS+SUM-NS_SUMALL,torch.Size([1536]),1,12,0,73.7,81.4,92.45,85.81,84.73,87.6,67.13,81.83142857142857
bert-base,CLS+MAX-NS_SUMALL,torch.Size([1536]),1,12,0,76.99,73.96,92.83,86.86,86.05,90.8,66.2,81.9557142857143
bert-base,DY3_SUMALL,torch.Size([2304]),1,12,0,79.83,82.49,94.4,88.49,81.88,90.4,65.91,83.34285714285714
bert-base,DY3-NS_SUMALL,torch.Size([2304]),1,12,0,79.08,82.78,94.22,87.68,82.04,90.4,61.22,82.48857142857143
bert-base,DY5_SUMALL,torch.Size([3840]),1,12,0,79.28,82.51,94.43,87.27,82.98,91.6,67.83,83.70000000000002
bert-base,DY5-NS_SUMALL,torch.Size([3840]),1,12,0,78.05,82.81,94.21,68.77,50.08,91.2,63.77,75.55571428571429
bert-base,CLS_AVGALL,torch.Size([768]),1,12,0,80.01,73.09,93.92,87.37,85.72,75.0,67.83,80.42
bert-base,AVG_AVGALL,torch.Size([768]),1,12,0,79.68,83.31,94.04,89.07,83.86,89.0,69.39,84.05
bert-base,SUM_AVGALL,torch.Size([768]),1,12,0,79.07,82.12,93.8,88.32,85.67,89.4,66.14,83.50285714285714
bert-base,MAX_AVGALL,torch.Size([768]),1,12,0,75.79,71.9,92.1,87.88,80.4,81.8,69.57,79.91999999999999
bert-base,AVG-NS_AVGALL,torch.Size([768]),1,12,0,79.65,83.02,93.94,89.27,83.8,89.4,69.28,84.05142857142857
bert-base,SUM-NS_AVGALL,torch.Size([768]),1,12,0,78.78,81.06,93.14,88.41,85.28,89.8,66.26,83.24714285714285
bert-base,MAX-NS_AVGALL,torch.Size([768]),1,12,0,75.19,72.66,92.05,88.29,81.33,84.2,70.03,80.53571428571429
bert-base,CLS+AVG_AVGALL,torch.Size([1536]),1,12,0,80.59,82.49,94.59,89.4,86.27,89.8,74.09,85.31857142857142
bert-base,CLS+SUM_AVGALL,torch.Size([1536]),1,12,0,78.27,82.52,93.54,88.92,85.56,92.2,65.45,83.78
bert-base,CLS+MAX_AVGALL,torch.Size([1536]),1,12,0,80.22,81.06,93.65,88.73,86.11,87.8,72.81,84.34000000000002
bert-base,CLS+AVG-NS_AVGALL,torch.Size([1536]),1,12,0,80.54,82.6,94.8,89.7,86.22,89.6,74.61,85.43857142857144
bert-base,CLS+SUM-NS_AVGALL,torch.Size([1536]),1,12,0,78.64,82.01,93.54,89.01,85.39,92.2,65.91,83.8142857142857
bert-base,CLS+MAX-NS_AVGALL,torch.Size([1536]),1,12,0,80.33,80.98,93.8,88.87,86.33,88.0,72.0,84.33
bert-base,DY3_AVGALL,torch.Size([2304]),1,12,0,79.91,83.55,94.65,89.68,82.26,89.8,68.41,84.03714285714285
bert-base,DY3-NS_AVGALL,torch.Size([2304]),1,12,0,79.67,83.97,94.48,89.13,82.21,91.4,67.77,84.09
bert-base,DY5_AVGALL,torch.Size([3840]),1,12,0,80.21,84.56,94.91,88.95,82.54,91.4,68.29,84.40857142857142
bert-base,DY5-NS_AVGALL,torch.Size([3840]),1,12,0,80.2,84.24,94.88,68.77,50.08,94.0,68.0,77.16714285714285
roberta-base,CLS_LYR-7,torch.Size([768]),1,12,0,75.45,63.76,86.11,68.77,85.72,52.0,66.49,71.18571428571428
roberta-base,AVG_LYR-7,torch.Size([768]),1,12,0,84.22,86.94,94.17,87.59,90.61,89.4,66.49,85.63142857142857
roberta-base,SUM_LYR-7,torch.Size([768]),1,12,0,83.05,84.98,93.25,87.48,90.12,92.0,66.49,85.33857142857143
roberta-base,MAX_LYR-7,torch.Size([768]),1,12,0,79.49,73.64,91.9,86.54,87.26,85.6,65.51,81.41999999999999
roberta-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,84.27,87.58,93.98,87.67,90.66,91.0,66.49,85.95
roberta-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,83.54,85.64,93.72,87.54,90.28,92.4,66.49,85.65857142857143
