Unnamed: 0;Modelo;nhid;Pooling;epochs;qtd_layers;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
98,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-11;1,00;24,00;77,00;79,10;93,69;68,77;50,08;89,40;66,78;74,97
99,00;bert-large-uncased;0,00;_cls-12;1,00;24,00;71,99;72,85;92,86;84,22;78,58;78,20;66,49;77,88
100,00;bert-large-uncased;0,00;_mean-12;1,00;24,00;76,82;75,95;93,19;87,22;82,54;88,40;73,39;82,50
101,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-12;1,00;24,00;76,85;78,09;93,42;88,14;81,93;86,80;72,06;82,47
102,00;bert-large-uncased;0,00;_concat_cls_with_mean-12;1,00;24,00;76,69;74,83;94,23;86,88;82,81;89,80;72,70;82,56
103,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-12;1,00;24,00;75,91;75,57;93,98;87,71;82,15;90,00;72,58;82,56
104,00;bert-large-uncased;0,00;_concat_mean_3_tokens-12;1,00;24,00;76,93;78,84;94,01;87,78;79,08;90,20;68,06;82,13
105,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-12;1,00;24,00;76,81;79,21;94,14;87,83;78,91;91,00;67,54;82,21
106,00;bert-large-uncased;0,00;_concat_mean_5_tokens-12;1,00;24,00;77,34;79,52;94,09;87,22;78,69;90,20;67,19;82,04
107,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-12;1,00;24,00;76,56;78,54;93,70;68,77;50,08;90,20;62,38;74,32
108,00;bert-large-uncased;0,00;_cls-13;1,00;24,00;73,24;73,04;92,53;84,92;79,24;75,40;66,49;77,84
109,00;bert-large-uncased;0,00;_mean-13;1,00;24,00;77,30;77,43;93,48;87,26;82,59;86,80;73,22;82,58
110,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-13;1,00;24,00;77,51;77,75;93,43;87,66;82,92;91,60;73,28;83,45
111,00;bert-large-uncased;0,00;_concat_cls_with_mean-13;1,00;24,00;76,49;78,68;94,38;87,66;81,88;89,80;73,22;83,16
112,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-13;1,00;24,00;76,41;79,28;94,34;88,37;81,82;90,80;73,28;83,47
113,00;bert-large-uncased;0,00;_concat_mean_3_tokens-13;1,00;24,00;77,23;79,92;94,25;87,77;80,72;92,20;68,46;82,94
114,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-13;1,00;24,00;77,21;79,66;94,25;87,98;80,18;91,60;68,46;82,76
115,00;bert-large-uncased;0,00;_concat_mean_5_tokens-13;1,00;24,00;77,78;80,24;94,35;87,03;79,90;92,80;67,94;82,86
116,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-13;1,00;24,00;76,82;79,44;94,10;68,77;50,08;92,80;63,71;75,10
117,00;bert-large-uncased;0,00;_cls-14;1,00;24,00;76,38;75,47;94,37;86,00;81,71;78,80;69,22;80,28
118,00;bert-large-uncased;0,00;_mean-14;1,00;24,00;78,70;80,08;93,87;87,18;83,36;91,80;70,09;83,58
119,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-14;1,00;24,00;78,54;80,26;93,79;87,86;83,31;92,40;70,32;83,78
120,00;bert-large-uncased;0,00;_concat_cls_with_mean-14;1,00;24,00;78,97;79,95;94,99;87,31;84,62;92,80;73,68;84,62
121,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-14;1,00;24,00;78,74;80,53;94,90;88,06;84,07;93,00;73,74;84,72
122,00;bert-large-uncased;0,00;_concat_mean_3_tokens-14;1,00;24,00;78,79;81,30;94,41;87,89;80,07;93,40;69,04;83,56
123,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-14;1,00;24,00;78,83;80,71;94,41;87,70;80,78;93,60;68,75;83,54
124,00;bert-large-uncased;0,00;_concat_mean_5_tokens-14;1,00;24,00;78,97;81,17;94,97;87,20;79,96;95,40;66,90;83,51
125,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-14;1,00;24,00;78,83;81,43;94,80;68,77;50,08;93,80;64,99;76,10
126,00;bert-large-uncased;0,00;_cls-15;1,00;24,00;77,73;79,52;94,09;85,53;83,09;88,20;72,00;82,88
127,00;bert-large-uncased;0,00;_mean-15;1,00;24,00;79,20;79,79;94,44;87,25;84,51;92,20;75,19;84,65
