Modelo;Pooling;out_emb_size;epochs;qtd_layers;nhid;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
bert-base;CLS_SUML4L;torch.Size([768]);1,00;12,00;0,00;81,89;84,43;95,09;87,61;87,26;88,40;62,38;83,87
bert-base;AVG_SUML4L;torch.Size([768]);1,00;12,00;0,00;81,34;86,78;94,42;88,33;86,27;91,00;70,38;85,50
bert-base;SUM_SUML4L;torch.Size([768]);1,00;12,00;0,00;76,11;82,68;93,45;86,33;85,67;88,60;65,22;82,58
bert-base;MAX_SUML4L;torch.Size([768]);1,00;12,00;0,00;76,59;78,09;92,19;86,50;83,80;85,40;67,19;81,39
bert-base;AVG-NS_SUML4L;torch.Size([768]);1,00;12,00;0,00;81,10;85,61;94,46;88,09;86,49;91,60;68,75;85,16
bert-base;SUM-NS_SUML4L;torch.Size([768]);1,00;12,00;0,00;76,04;83,15;93,08;85,86;85,72;88,20;65,57;82,52
bert-base;MAX-NS_SUML4L;torch.Size([768]);1,00;12,00;0,00;77,38;76,08;92,76;86,81;83,75;91,40;67,54;82,25
bert-base;CLS+AVG_SUML4L;torch.Size([1536]);1,00;12,00;0,00;82,40;85,99;95,20;88,59;87,92;92,20;71,65;86,28
bert-base;CLS+SUM_SUML4L;torch.Size([1536]);1,00;12,00;0,00;76,61;83,84;93,31;86,66;85,06;86,80;67,77;82,86
bert-base;CLS+MAX_SUML4L;torch.Size([1536]);1,00;12,00;0,00;80,53;83,81;94,55;87,76;86,71;92,40;67,07;84,69
bert-base;CLS+AVG-NS_SUML4L;torch.Size([1536]);1,00;12,00;0,00;82,41;85,77;95,13;88,73;87,70;90,40;72,17;86,04
bert-base;CLS+SUM-NS_SUML4L;torch.Size([1536]);1,00;12,00;0,00;76,95;83,36;93,09;87,07;85,34;87,80;65,91;82,79
bert-base;CLS+MAX-NS_SUML4L;torch.Size([1536]);1,00;12,00;0,00;80,54;83,73;94,80;88,19;87,59;92,00;66,49;84,76
bert-base;DY3_SUML4L;torch.Size([2304]);1,00;12,00;0,00;81,98;85,46;95,24;88,63;84,13;92,40;70,38;85,46
bert-base;DY3-NS_SUML4L;torch.Size([2304]);1,00;12,00;0,00;81,14;86,46;95,02;88,32;83,80;92,80;70,38;85,42
bert-base;DY5_SUML4L;torch.Size([3840]);1,00;12,00;0,00;81,39;86,07;94,35;88,25;83,86;92,00;68,12;84,86
bert-base;DY5-NS_SUML4L;torch.Size([3840]);1,00;12,00;0,00;80,36;86,20;94,94;68,77;50,08;92,40;64,41;76,74
bert-base;CLS_AVGL4L;torch.Size([768]);1,00;12,00;0,00;81,23;84,61;94,79;87,60;86,05;81,60;70,32;83,74
bert-base;AVG_AVGL4L;torch.Size([768]);1,00;12,00;0,00;81,21;85,06;94,44;87,88;85,78;90,00;73,97;85,48
bert-base;SUM_AVGL4L;torch.Size([768]);1,00;12,00;0,00;78,06;84,21;93,85;87,55;86,38;90,60;67,54;84,03
bert-base;MAX_AVGL4L;torch.Size([768]);1,00;12,00;0,00;77,83;78,44;93,36;87,01;83,96;85,40;72,06;82,58
bert-base;AVG-NS_AVGL4L;torch.Size([768]);1,00;12,00;0,00;80,90;84,69;94,32;87,75;85,72;89,20;74,43;85,29
bert-base;SUM-NS_AVGL4L;torch.Size([768]);1,00;12,00;0,00;78,30;84,21;93,95;86,76;86,16;90,60;67,07;83,86
bert-base;MAX-NS_AVGL4L;torch.Size([768]);1,00;12,00;0,00;78,33;80,24;93,21;86,71;84,07;88,60;71,83;83,28
bert-base;CLS+AVG_AVGL4L;torch.Size([1536]);1,00;12,00;0,00;82,24;84,98;95,26;88,43;87,86;89,00;75,07;86,12
bert-base;CLS+SUM_AVGL4L;torch.Size([1536]);1,00;12,00;0,00;79,24;84,77;94,23;88,34;86,00;91,00;66,03;84,23
bert-base;CLS+MAX_AVGL4L;torch.Size([1536]);1,00;12,00;0,00;82,05;83,71;94,90;88,39;87,42;90,60;73,28;85,76
bert-base;CLS+AVG-NS_AVGL4L;torch.Size([1536]);1,00;12,00;0,00;82,02;85,67;95,08;88,99;87,37;90,20;74,96;86,33
bert-base;CLS+SUM-NS_AVGL4L;torch.Size([1536]);1,00;12,00;0,00;78,94;84,27;93,94;88,33;86,38;91,40;71,54;84,97
bert-base;CLS+MAX-NS_AVGL4L;torch.Size([1536]);1,00;12,00;0,00;81,79;84,53;94,92;88,50;87,37;90,80;72,81;85,82
bert-base;DY3_AVGL4L;torch.Size([2304]);1,00;12,00;0,00;81,53;85,22;94,97;88,58;83,42;91,00;70,96;85,10
bert-base;DY3-NS_AVGL4L;torch.Size([2304]);1,00;12,00;0,00;81,44;86,31;95,02;88,95;84,90;92,40;69,33;85,48
bert-base;DY5_AVGL4L;torch.Size([3840]);1,00;12,00;0,00;81,65;86,94;95,15;88,87;83,69;92,80;70,55;85,66
bert-base;DY5-NS_AVGL4L;torch.Size([3840]);1,00;12,00;0,00;81,69;86,41;95,10;68,77;50,08;93,40;67,65;77,59
bert-base;CLS_SUMALL;torch.Size([768]);1,00;12,00;0,00;79,86;82,86;94,78;86,61;86,49;88,80;66,49;83,70
bert-base;AVG_SUMALL;torch.Size([768]);1,00;12,00;0,00;80,03;83,34;94,85;88,33;85,94;91,60;66,09;84,31
bert-base;SUM_SUMALL;torch.Size([768]);1,00;12,00;0,00;74,31;79,81;92,37;85,78;85,67;86,20;66,32;81,49
bert-base;MAX_SUMALL;torch.Size([768]);1,00;12,00;0,00;71,92;63,47;89,68;86,84;82,32;85,40;65,68;77,90
bert-base;AVG-NS_SUMALL;torch.Size([768]);1,00;12,00;0,00;79,36;83,63;94,76;88,24;85,45;90,60;64,35;83,77
bert-base;SUM-NS_SUMALL;torch.Size([768]);1,00;12,00;0,00;74,21;80,32;92,85;85,25;83,80;86,20;65,97;81,23
bert-base;MAX-NS_SUMALL;torch.Size([768]);1,00;12,00;0,00;70,65;64,93;89,86;86,52;81,60;85,20;65,68;77,78
bert-base;CLS+AVG_SUMALL;torch.Size([1536]);1,00;12,00;0,00;80,81;84,11;94,95;88,26;86,99;93,80;66,49;85,06
