,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
66,bert-base,DY5_LYR-10,torch.Size([3840]),1,12,0,81.57,86.81,94.94,88.7,84.24,46.97,92.4,65.62,80.15625,84.89714285714285
67,bert-base,DY5-NS_LYR-10,torch.Size([3840]),1,12,0,81.77,86.12,95.11,68.77,50.08,47.33,93.4,69.28,73.98249999999999,77.78999999999999
68,bert-base,CLS_LYR-11,torch.Size([768]),1,12,0,81.67,84.03,94.55,87.67,87.1,46.29,86.0,70.55,79.73249999999999,84.50999999999999
69,bert-base,AVG_LYR-11,torch.Size([768]),1,12,0,80.33,84.93,94.33,88.0,85.06,47.51,87.8,73.97,80.24125,84.91714285714285
70,bert-base,SUM_LYR-11,torch.Size([768]),1,12,0,78.06,83.68,93.6,87.11,85.34,42.4,90.4,64.46,78.13125,83.23571428571428
71,bert-base,MAX_LYR-11,torch.Size([768]),1,12,0,77.78,79.79,93.33,87.37,83.96,43.67,85.6,72.29,77.97375,82.8742857142857
72,bert-base,AVG-NS_LYR-11,torch.Size([768]),1,12,0,80.33,84.69,94.46,87.61,84.84,47.38,88.6,73.62,80.19125,84.87857142857142
73,bert-base,SUM-NS_LYR-11,torch.Size([768]),1,12,0,77.4,83.84,93.52,86.68,84.84,41.67,90.0,63.71,77.70750000000001,82.85571428571428
74,bert-base,MAX-NS_LYR-11,torch.Size([768]),1,12,0,78.05,80.05,93.43,86.42,83.96,43.57,87.8,71.88,78.145,83.0842857142857
75,bert-base,CLS+AVG_LYR-11,torch.Size([1536]),1,12,0,82.28,85.03,94.9,88.55,87.48,47.51,89.8,73.04,81.07375,85.86857142857143
76,bert-base,CLS+SUM_LYR-11,torch.Size([1536]),1,12,0,79.05,82.62,93.68,87.49,85.72,45.2,92.0,62.61,78.54625,83.31000000000002
77,bert-base,CLS+MAX_LYR-11,torch.Size([1536]),1,12,0,81.7,83.29,94.78,87.87,86.71,48.42,90.2,75.01,80.9975,85.65142857142857
78,bert-base,CLS+AVG-NS_LYR-11,torch.Size([1536]),1,12,0,82.1,84.98,95.12,88.4,87.42,48.82,90.0,73.04,81.235,85.86571428571428
79,bert-base,CLS+SUM-NS_LYR-11,torch.Size([1536]),1,12,0,78.77,82.49,93.71,87.64,86.0,45.43,92.2,60.06,78.2875,82.98142857142855
80,bert-base,CLS+MAX-NS_LYR-11,torch.Size([1536]),1,12,0,81.61,83.42,94.89,87.94,86.77,47.42,90.2,75.01,80.9075,85.69142857142857
81,bert-base,DY3_LYR-11,torch.Size([2304]),1,12,0,80.93,85.53,95.04,88.55,83.64,46.38,92.0,71.54,80.45124999999999,85.31857142857143
82,bert-base,DY3-NS_LYR-11,torch.Size([2304]),1,12,0,81.11,85.99,95.06,88.61,83.75,45.97,91.4,70.84,80.34125,85.25142857142858
83,bert-base,DY5_LYR-11,torch.Size([3840]),1,12,0,81.31,86.41,95.1,88.81,83.8,47.15,93.0,69.68,80.6575,85.44428571428573
84,bert-base,DY5-NS_LYR-11,torch.Size([3840]),1,12,0,81.13,86.46,95.27,68.77,50.08,47.29,94.4,69.57,74.12125,77.95428571428569
85,bert-base,CLS_LYR-12,torch.Size([768]),1,12,0,81.32,84.13,94.56,86.71,86.16,46.83,81.6,71.83,79.1425,83.75857142857144
86,bert-base,AVG_LYR-12,torch.Size([768]),1,12,0,80.26,83.5,94.43,87.1,84.79,45.66,85.2,73.91,79.35625,84.16999999999999
87,bert-base,SUM_LYR-12,torch.Size([768]),1,12,0,78.59,82.57,93.66,87.08,85.12,43.89,89.8,64.93,78.20499999999998,83.10714285714286
88,bert-base,MAX_LYR-12,torch.Size([768]),1,12,0,77.48,74.02,92.59,85.59,83.36,44.66,81.2,71.42,76.29,80.80857142857143
89,bert-base,AVG-NS_LYR-12,torch.Size([768]),1,12,0,80.52,83.71,94.26,86.97,84.79,45.43,83.6,73.8,79.135,83.95
90,bert-base,SUM-NS_LYR-12,torch.Size([768]),1,12,0,78.04,82.97,93.55,86.54,85.45,43.08,89.8,67.13,78.32,83.35428571428572
91,bert-base,MAX-NS_LYR-12,torch.Size([768]),1,12,0,77.58,76.58,92.82,85.81,82.1,44.62,81.4,71.77,76.585,81.15142857142857
92,bert-base,CLS+AVG_LYR-12,torch.Size([1536]),1,12,0,81.69,85.38,95.15,88.15,86.77,47.29,88.8,73.68,80.86375000000001,85.65999999999998
93,bert-base,CLS+SUM_LYR-12,torch.Size([1536]),1,12,0,79.44,84.27,93.9,87.37,86.66,45.84,91.2,69.28,79.745,84.58857142857143
94,bert-base,CLS+MAX_LYR-12,torch.Size([1536]),1,12,0,81.87,84.29,94.79,87.04,86.99,47.42,87.6,72.93,80.36625000000001,85.07285714285715
95,bert-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),1,12,0,81.73,84.5,95.16,87.98,86.71,47.56,89.4,74.09,80.89125,85.65285714285714
96,bert-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),1,12,0,79.51,83.87,93.83,87.46,86.71,45.84,89.8,69.45,79.55874999999999,84.37571428571428
97,bert-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),1,12,0,81.7,83.58,94.48,87.46,86.66,46.7,87.2,72.81,80.07374999999999,84.84142857142858
98,bert-base,DY3_LYR-12,torch.Size([2304]),1,12,0,80.76,84.82,94.88,87.98,83.96,46.97,89.0,70.38,79.84375,84.53999999999999
99,bert-base,DY3-NS_LYR-12,torch.Size([2304]),1,12,0,80.64,84.66,94.92,88.18,83.96,45.93,90.2,70.2,79.83625,84.68000000000002
100,bert-base,DY5_LYR-12,torch.Size([3840]),1,12,0,80.95,85.56,95.01,88.3,82.15,45.7,90.8,67.59,79.50750000000001,84.33714285714287
101,bert-base,DY5-NS_LYR-12,torch.Size([3840]),1,12,0,80.7,84.74,94.91,68.77,50.08,45.52,92.2,67.48,73.05,76.98285714285714
102,bert-base,CLS_SUML4L,torch.Size([768]),1,12,0,81.89,84.43,95.09,87.61,87.26,46.79,88.4,62.38,79.23125,83.86571428571428
103,bert-base,AVG_SUML4L,torch.Size([768]),1,12,0,81.34,86.78,94.42,88.33,86.27,48.05,91.0,70.38,80.82125,85.50285714285714
104,bert-base,SUM_SUML4L,torch.Size([768]),1,12,0,76.11,82.68,93.45,86.33,85.67,39.0,88.6,65.22,77.13250000000001,82.58000000000001
105,bert-base,MAX_SUML4L,torch.Size([768]),1,12,0,76.59,78.09,92.19,86.5,83.8,43.44,85.4,67.19,76.65,81.39428571428572
106,bert-base,AVG-NS_SUML4L,torch.Size([768]),1,12,0,81.1,85.61,94.46,88.09,86.49,46.65,91.6,68.75,80.34375,85.15714285714286
107,bert-base,SUM-NS_SUML4L,torch.Size([768]),1,12,0,76.04,83.15,93.08,85.86,85.72,39.46,88.2,65.57,77.13499999999999,82.51714285714287
108,bert-base,MAX-NS_SUML4L,torch.Size([768]),1,12,0,77.38,76.08,92.76,86.81,83.75,42.26,91.4,67.54,77.24749999999999,82.24571428571427
109,bert-base,CLS+AVG_SUML4L,torch.Size([1536]),1,12,0,82.4,85.99,95.2,88.59,87.92,47.1,92.2,71.65,81.38125,86.27857142857142
110,bert-base,CLS+SUM_SUML4L,torch.Size([1536]),1,12,0,76.61,83.84,93.31,86.66,85.06,38.87,86.8,67.77,77.365,82.86428571428571
111,bert-base,CLS+MAX_SUML4L,torch.Size([1536]),1,12,0,80.53,83.81,94.55,87.76,86.71,43.03,92.4,67.07,79.48249999999999,84.68999999999998
112,bert-base,CLS+AVG-NS_SUML4L,torch.Size([1536]),1,12,0,82.41,85.77,95.13,88.73,87.7,47.06,90.4,72.17,81.17125,86.0442857142857
113,bert-base,CLS+SUM-NS_SUML4L,torch.Size([1536]),1,12,0,76.95,83.36,93.09,87.07,85.34,39.5,87.8,65.91,77.3775,82.78857142857143
114,bert-base,CLS+MAX-NS_SUML4L,torch.Size([1536]),1,12,0,80.54,83.73,94.8,88.19,87.59,42.94,92.0,66.49,79.535,84.76285714285714
115,bert-base,DY3_SUML4L,torch.Size([2304]),1,12,0,81.98,85.46,95.24,88.63,84.13,44.8,92.4,70.38,80.3775,85.46000000000001
116,bert-base,DY3-NS_SUML4L,torch.Size([2304]),1,12,0,81.14,86.46,95.02,88.32,83.8,44.57,92.8,70.38,80.31125,85.41714285714285
117,bert-base,DY5_SUML4L,torch.Size([3840]),1,12,0,81.39,86.07,94.35,88.25,83.86,46.56,92.0,68.12,80.075,84.86285714285714
118,bert-base,DY5-NS_SUML4L,torch.Size([3840]),1,12,0,80.36,86.2,94.94,68.77,50.08,46.06,92.4,64.41,72.90249999999999,76.73714285714286
119,bert-base,CLS_AVGL4L,torch.Size([768]),1,12,0,81.23,84.61,94.79,87.6,86.05,47.38,81.6,70.32,79.19749999999999,83.74285714285715
120,bert-base,AVG_AVGL4L,torch.Size([768]),1,12,0,81.21,85.06,94.44,87.88,85.78,45.61,90.0,73.97,80.49375,85.47714285714287
121,bert-base,SUM_AVGL4L,torch.Size([768]),1,12,0,78.06,84.21,93.85,87.55,86.38,43.57,90.6,67.54,78.97,84.02714285714285
122,bert-base,MAX_AVGL4L,torch.Size([768]),1,12,0,77.83,78.44,93.36,87.01,83.96,45.52,85.4,72.06,77.94749999999999,82.58
123,bert-base,AVG-NS_AVGL4L,torch.Size([768]),1,12,0,80.9,84.69,94.32,87.75,85.72,45.61,89.2,74.43,80.32750000000001,85.28714285714285
124,bert-base,SUM-NS_AVGL4L,torch.Size([768]),1,12,0,78.3,84.21,93.95,86.76,86.16,43.35,90.6,67.07,78.80000000000001,83.86428571428571
125,bert-base,MAX-NS_AVGL4L,torch.Size([768]),1,12,0,78.33,80.24,93.21,86.71,84.07,43.26,88.6,71.83,78.28125,83.28428571428572
126,bert-base,CLS+AVG_AVGL4L,torch.Size([1536]),1,12,0,82.24,84.98,95.26,88.43,87.86,47.19,89.0,75.07,81.25375,86.11999999999999
127,bert-base,CLS+SUM_AVGL4L,torch.Size([1536]),1,12,0,79.24,84.77,94.23,88.34,86.0,44.71,91.0,66.03,79.28999999999999,84.23
128,bert-base,CLS+MAX_AVGL4L,torch.Size([1536]),1,12,0,82.05,83.71,94.9,88.39,87.42,47.15,90.6,73.28,80.93749999999999,85.7642857142857
129,bert-base,CLS+AVG-NS_AVGL4L,torch.Size([1536]),1,12,0,82.02,85.67,95.08,88.99,87.37,47.24,90.2,74.96,81.44125000000001,86.32714285714287
130,bert-base,CLS+SUM-NS_AVGL4L,torch.Size([1536]),1,12,0,78.94,84.27,93.94,88.33,86.38,44.62,91.4,71.54,79.9275,84.97142857142856
131,bert-base,CLS+MAX-NS_AVGL4L,torch.Size([1536]),1,12,0,81.79,84.53,94.92,88.5,87.37,47.51,90.8,72.81,81.02875,85.81714285714285
132,bert-base,DY3_AVGL4L,torch.Size([2304]),1,12,0,81.53,85.22,94.97,88.58,83.42,47.01,91.0,70.96,80.33625,85.09714285714287
133,bert-base,DY3-NS_AVGL4L,torch.Size([2304]),1,12,0,81.44,86.31,95.02,88.95,84.9,46.33,92.4,69.33,80.58500000000001,85.47857142857143
134,bert-base,DY5_AVGL4L,torch.Size([3840]),1,12,0,81.65,86.94,95.15,88.87,83.69,47.19,92.8,70.55,80.85499999999999,85.66428571428571
135,bert-base,DY5-NS_AVGL4L,torch.Size([3840]),1,12,0,81.69,86.41,95.1,68.77,50.08,46.33,93.4,67.65,73.67875,77.58571428571427
136,bert-base,CLS_SUMALL,torch.Size([768]),1,12,0,79.86,82.86,94.78,86.61,86.49,45.57,88.8,66.49,78.9325,83.69857142857143
137,bert-base,AVG_SUMALL,torch.Size([768]),1,12,0,80.03,83.34,94.85,88.33,85.94,44.62,91.6,66.09,79.35000000000001,84.31142857142858
138,bert-base,SUM_SUMALL,torch.Size([768]),1,12,0,74.31,79.81,92.37,85.78,85.67,40.32,86.2,66.32,76.3475,81.49428571428572
139,bert-base,MAX_SUMALL,torch.Size([768]),1,12,0,71.92,63.47,89.68,86.84,82.32,34.62,85.4,65.68,72.49125000000001,77.90142857142857
140,bert-base,AVG-NS_SUMALL,torch.Size([768]),1,12,0,79.36,83.63,94.76,88.24,85.45,42.67,90.6,64.35,78.63250000000001,83.77
141,bert-base,SUM-NS_SUMALL,torch.Size([768]),1,12,0,74.21,80.32,92.85,85.25,83.8,40.36,86.2,65.97,76.12,81.22857142857143
142,bert-base,MAX-NS_SUMALL,torch.Size([768]),1,12,0,70.65,64.93,89.86,86.52,81.6,31.45,85.2,65.68,71.98624999999998,77.77714285714285
143,bert-base,CLS+AVG_SUMALL,torch.Size([1536]),1,12,0,80.81,84.11,94.95,88.26,86.99,45.7,93.8,66.49,80.13875,85.05857142857143
144,bert-base,CLS+SUM_SUMALL,torch.Size([1536]),1,12,0,74.1,81.67,92.73,85.66,85.78,38.05,87.6,64.17,76.21999999999998,81.67285714285713
145,bert-base,CLS+MAX_SUMALL,torch.Size([1536]),1,12,0,76.34,74.09,93.03,86.76,86.0,39.46,90.0,66.61,76.53625000000001,81.83285714285715
146,bert-base,CLS+AVG-NS_SUMALL,torch.Size([1536]),1,12,0,80.5,83.63,94.94,88.58,87.2,47.6,92.6,68.64,80.46124999999999,85.15571428571427
147,bert-base,CLS+SUM-NS_SUMALL,torch.Size([1536]),1,12,0,73.7,81.4,92.45,85.81,84.73,37.56,87.6,67.13,76.2975,81.83142857142857
148,bert-base,CLS+MAX-NS_SUMALL,torch.Size([1536]),1,12,0,76.99,73.96,92.83,86.86,86.05,39.23,90.8,66.2,76.61500000000001,81.9557142857143
149,bert-base,DY3_SUMALL,torch.Size([2304]),1,12,0,79.83,82.49,94.4,88.49,81.88,42.4,90.4,65.91,78.225,83.34285714285714
150,bert-base,DY3-NS_SUMALL,torch.Size([2304]),1,12,0,79.08,82.78,94.22,87.68,82.04,41.63,90.4,61.22,77.38125000000001,82.48857142857143
