Modelo,Pooling,out_emb_size,Nhid,CR
bert-base,CLS+SUM-NS_SUMALL,torch.Size([1536]),0,"{'devacc': np.float64(82.42), 'acc': np.float64(81.4), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_SUMALL,torch.Size([1536]),0,"{'devacc': np.float64(77.88), 'acc': np.float64(73.96), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_SUMALL,torch.Size([2304]),0,"{'devacc': np.float64(84.39), 'acc': np.float64(82.49), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_SUMALL,torch.Size([2304]),0,"{'devacc': np.float64(83.93), 'acc': np.float64(82.78), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_SUMALL,torch.Size([3840]),0,"{'devacc': np.float64(84.22), 'acc': np.float64(82.51), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_SUMALL,torch.Size([3840]),0,"{'devacc': np.float64(84.03), 'acc': np.float64(82.81), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(71.73), 'acc': np.float64(73.09), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(84.47), 'acc': np.float64(83.31), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(83.35), 'acc': np.float64(82.12), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(68.77), 'acc': np.float64(71.9), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(84.51), 'acc': np.float64(83.02), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(83.28), 'acc': np.float64(81.06), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_AVGALL,torch.Size([768]),0,"{'devacc': np.float64(69.66), 'acc': np.float64(72.66), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_AVGALL,torch.Size([1536]),0,"{'devacc': np.float64(82.58), 'acc': np.float64(82.49), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_AVGALL,torch.Size([1536]),0,"{'devacc': np.float64(83.94), 'acc': np.float64(82.52), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_AVGALL,torch.Size([1536]),0,"{'devacc': np.float64(79.78), 'acc': np.float64(81.06), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_AVGALL,torch.Size([1536]),0,"{'devacc': np.float64(82.52), 'acc': np.float64(82.6), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_AVGALL,torch.Size([1536]),0,"{'devacc': np.float64(83.9), 'acc': np.float64(82.01), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_AVGALL,torch.Size([1536]),0,"{'devacc': np.float64(80.04), 'acc': np.float64(80.98), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_AVGALL,torch.Size([2304]),0,"{'devacc': np.float64(84.86), 'acc': np.float64(83.55), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_AVGALL,torch.Size([2304]),0,"{'devacc': np.float64(84.66), 'acc': np.float64(83.97), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_AVGALL,torch.Size([3840]),0,"{'devacc': np.float64(85.4), 'acc': np.float64(84.56), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_AVGALL,torch.Size([3840]),0,"{'devacc': np.float64(85.21), 'acc': np.float64(84.24), 'ndev': 3775, 'ntest': 3775}"
